% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 7 2019, 14:47
% Dimension:          3
% Nodes:              1147
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
2.710505431213761E-20     1.5000000000000004E-4    1.5000000000000001E-4    0                        -2.0477726084654638E-5   2.1158253051082018E-5
5.000000000000002E-5      1.5000000000000004E-4    1.5000000000000001E-4    0                        -2.052053206954739E-5    2.129322713023588E-5
-4.999999999999998E-5     -1.5E-4                  2.0E-4                   0                        -2.3171120064513096E-5   -3.0401431708079674E-5
2.710505431213761E-20     -1.5E-4                  2.0E-4                   0                        -2.3000185048351354E-5   -3.037295557853619E-5
5.000000000000002E-5      -1.5E-4                  2.0E-4                   0                        -2.3293906061534637E-5   -3.040253673662725E-5
-9.999999999999999E-5     -9.999999999999999E-5    2.0E-4                   0                        -1.711105868104678E-5    -1.908055035905069E-5
-4.999999999999998E-5     -9.999999999999999E-5    2.0E-4                   0                        -1.700581870787231E-5    -1.880859473431325E-5
2.710505431213761E-20     -9.999999999999999E-5    2.0E-4                   0                        -1.6991839538114955E-5   -1.8723995904730408E-5
5.000000000000002E-5      -9.999999999999999E-5    2.0E-4                   0                        -1.7062997246270494E-5   -1.8695352355823118E-5
1.0000000000000002E-4     -9.999999999999999E-5    2.0E-4                   0                        -1.7325330187654363E-5   -1.8810263876966608E-5
-1.5E-4                   -4.999999999999998E-5    2.0E-4                   0                        -1.474546102097793E-5    -8.470110000496354E-6
-9.999999999999999E-5     -4.999999999999998E-5    2.0E-4                   0                        -1.4595043334345664E-5   -8.286853778072344E-6
-4.999999999999998E-5     -4.999999999999998E-5    2.0E-4                   0                        -1.4519719424240395E-5   -8.03639769844112E-6
2.710505431213761E-20     -4.999999999999998E-5    2.0E-4                   0                        -1.44845539439491E-5     -8.0289614249571E-6
5.000000000000002E-5      -4.999999999999998E-5    2.0E-4                   0                        -1.4413178004119578E-5   -8.041022855868585E-6
1.0000000000000002E-4     -4.999999999999998E-5    2.0E-4                   0                        -1.4674865114960736E-5   -8.142651437958047E-6
1.5000000000000004E-4     -4.999999999999998E-5    2.0E-4                   0                        -1.4807437411245114E-5   -8.213215194251449E-6
-1.5E-4                   2.710505431213761E-20    2.0E-4                   0                        -1.5247902780419341E-5   1.5313621250335008E-6
-9.999999999999999E-5     2.710505431213761E-20    2.0E-4                   0                        -1.5130379413289666E-5   1.6196535544799373E-6
-4.999999999999998E-5     2.710505431213761E-20    2.0E-4                   0                        -1.4958761814121043E-5   1.743509837375015E-6
2.710505431213761E-20     2.710505431213761E-20    2.0E-4                   0                        -1.4842042635395229E-5   1.6994082214627333E-6
5.000000000000002E-5      2.710505431213761E-20    2.0E-4                   0                        -1.495846360274539E-5    1.6650196554820992E-6
1.0000000000000002E-4     2.710505431213761E-20    2.0E-4                   0                        -1.5089765366483614E-5   1.7413169044507129E-6
1.5000000000000004E-4     2.710505431213761E-20    2.0E-4                   0                        -1.525400549599176E-5    1.7872106333364935E-6
-1.5E-4                   5.000000000000002E-5     2.0E-4                   0                        -1.834802672084504E-5    1.1123818028617199E-5
